153	90	63	63
943	438	410	410
3171	1355	1325	1325
1798	808	778	778
2889	1286	1257	1257
2123	924	895	895
400	204	176	176
3199	1389	1359	1359
1971	898	869	869
2466	1061	1031	1031
3209	1390	1361	1361
2896	1253	1224	1224
2782	1209	1180	1180
1290	576	548	548
1614	718	689	689
1179	541	514	514
2105	903	874	874
1977	851	822	822
2643	1171	1142	1142
1954	890	861	861
2086	958	929	929
789	361	334	334
1376	603	575	575
1233	562	534	534
654	304	276	276
1972	882	852	852
1710	754	725	725
409	200	173	173
3119	1387	1357	1357
1932	839	810	810
2110	912	883	883
3126	1364	1335	1335
642	308	280	280
925	422	395	395
1959	874	844	844
3038	1321	1292	1292
866	417	390	390
2008	871	841	841
2049	892	862	862
635	304	276	276
281	148	120	120
1811	784	755	755
2279	1023	994	994
2068	918	889	889
998	457	429	429
2153	931	901	901
2727	1197	1167	1167
2201	1026	996	996
2297	1010	981	981
3231	1428	1398	1398
2385	1049	1020	1020
180	104	77	77
866	410	383	383
1732	783	753	753
1513	684	655	655
1211	558	531	531
293	158	131	131
2310	1022	992	992
2190	969	940	940
2664	1155	1126	1126
1669	743	714	714
1946	880	851	851
947	427	399	399
1829	823	794	794
1462	669	640	640
1365	633	603	603
2590	1102	1072	1072
2224	981	952	952
1677	750	720	720
197	111	84	84
2364	1064	1035	1035
2879	1286	1256	1256
2958	1296	1267	1267
2720	1203	1173	1173
2978	1278	1248	1248
2783	1202	1172	1172
994	452	425	425
2205	949	919	919
2048	886	857	857
1076	499	472	472
1417	630	602	602
1075	510	483	483
300	156	128	128
1239	553	525	525
1929	876	847	847
1168	517	489	489
1742	767	737	737
818	375	348	348
127	81	55	55
2648	1167	1137	1137
177	97	70	70
957	433	406	406
2274	984	954	954
2055	896	867	867
2824	1250	1221	1221
3103	1356	1326	1326
1372	626	598	598
2160	941	911	911
3117	1376	1347	1347
3061	1329	1300	1300
718	329	302	302
640	307	280	280
1212	581	554	554
1422	642	613	613
2485	1083	1053	1053
3066	1349	1320	1320
316	162	134	134
2822	1254	1224	1224
2005	899	869	869
1118	513	486	486
740	345	318	318
238	126	100	100
479	239	211	211
2372	1045	1016	1016
2924	1302	1272	1272
3137	1392	1362	1362
3022	1340	1311	1311
2778	1245	1215	1215
278	146	118	118
508	252	225	225
3147	1371	1342	1342
2873	1252	1222	1222
2764	1215	1186	1186
1963	873	844	844
2770	1232	1203	1203
236	130	104	104
1154	530	502	502
1810	814	785	785
1213	541	513	513
232	130	103	103
3166	1386	1356	1356
1122	512	485	485
3157	1351	1322	1322
2770	1225	1196	1196
3146	1376	1347	1347
2449	1112	1082	1082
717	342	315	315
3057	1326	1297	1297
1353	602	574	574
2158	942	912	912
2788	1268	1238	1238
1740	770	741	741
349	172	144	144
2949	1314	1284	1284
1762	789	760	760
2518	1098	1068	1068
3180	1411	1381	1381
2702	1164	1135	1135
150	89	63	63
2389	1057	1028	1028
1976	878	848	848
552	267	239	239
1359	588	559	559
1579	727	698	698
1914	820	791	791
1888	851	821	821
1939	878	849	849
2228	992	962	962
1240	577	550	550
2975	1323	1294	1294
1386	624	595	595
2054	908	879	879
337	176	149	149
3145	1399	1369	1369
737	351	324	324
2165	925	896	896
862	400	372	372
1526	691	662	662
2666	1219	1190	1190
905	405	378	378
591	280	252	252
786	361	334	334
219	120	94	94
2242	983	953	953
3102	1393	1363	1363
666	313	286	286
242	130	103	103
3210	1432	1402	1402
2715	1169	1140	1140
2036	897	868	868
530	248	221	221
2997	1324	1295	1295
523	257	230	230
2012	880	851	851
1965	876	846	846
3157	1381	1351	1351
505	249	222	222
2269	1030	1001	1001
2853	1277	1247	1247
2396	1028	998	998
640	294	267	267
1327	589	561	561
1066	477	450	450
750	364	337	337
1853	816	786	786
2767	1191	1162	1162
331	174	147	147
1073	464	436	436
2062	901	872	872
1069	465	438	438
